Brand,Title,Planet,People,Animals,Overall Rating,Description
C&A,C&A uses eco-friendly materials but is not taking adequate steps to ensure payment of a living wage for its workers.,3 out of 5,3 out of 5,3 out of 5,It's a start,"C&A's environment rating is 'it's a start'. It uses a medium proportion of eco-friendly materials including Global Organic Textile Standard (GOTS) certified organic cotton cotton. It has set a science-based target to reduce greenhouse gas emissions generated from its own operations and supply chain but there is no evidence it is on track to meet its target. It implements some water reduction initiatives in its supply chain. It has set a deadline to eliminate hazardous chemicals by 2020 but there is no evidence it is on track to meet its target.
Its labour rating is 'it's a start'. Some of its supply chain is certified by Global Organic Textile Standard (GOTS) certified organic cotton including the final, second and first stages of production. It received a score of 61-70% in the Fashion Transparency Index. It likely publishes detailed information about its supplier policies, audits and remediation processes. It publishes a detailed list of suppliers in the final stage of production, some information about the second and first stages of production and some information about the findings of supplier audits. It publishes some information about forced labour, gender equality or freedom of association. It has a project to improve wages in its supply chain however there is no evidence it ensures payment of a living wage in most of its supply chain. It does not disclose adequate policies or safeguards to protect suppliers and workers in its supply chain from the impacts of Covid-19.
Its animal rating is 'it's a start'. It has a formal animal welfare policy aligned with Five Freedoms. It uses leather and exotic animal hair. It uses down accredited by the Responsible Down Standard. It states that it sources wool from non-mulesed sheep. It does not use fur, angora or exotic animal skin. It traces some animal products to the first stage of production.
C&A is rated 'It's a start' overall.
Last Updated: July 2020"
eleven44,Women's and men's activewear and comfort basic - fundamental pieces for your minimalist capsule wardrobe.,4 out of 5,2 out of 5,4 out of 5,It's a start,"eleven44's environment rating is 'good'. It uses a medium proportion of eco-friendly materials including Global Organic Textile Standard (GOTS) certified organic cotton. It uses low impact non-toxic dyes in some of its products. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production.
Its labour rating is 'not good enough'. There is no evidence it investigates and reports on safety incidents. There is no evidence it has a Code of Conduct but it has a formal statement covering workers rights. It sources its final stage of production from countries with extreme risk of labour abuse. It traces most of its supply chain including all of the final stage of production.
Its animal rating is 'good'. It does not use fur, leather, wool, down, exotic animal skin, exotic animal hair or angora. It uses silk.
eleven44 is rated 'It's a start' based on information from our own research.
Last Updated: March 2020"
émoi émoi,"émoi émoi celebrates families with collections inspired by the greatest family moments, big and small.",3 out of 5,3 out of 5,4 out of 5,It's a start,"émoi émoi's environment rating is 'it's a start'. It uses a medium proportion of eco-friendly materials including Global Organic Textile Standard (GOTS) certified organic cotton cotton. There is no evidence it minimises packaging. There is no evidence it is taking specific steps to reduce energy use and greenhouse gas emissions. However its use of eco-friendly materials reduces its climate impact and limits the amount of chemicals, water and wastewater used in production.
Its labour rating is 'it's a start'. Most of its final stage of production is undertaken in the European Union, a low/medium risk region for labour abuse. There is no evidence it has a Code of Conduct but it has a formal statement covering workers rights. It is unclear whether it ensures payment of a living wage in its supply chain. It audits some of its supply chain.
Its animal rating is 'good'. It does not use fur, wool, down, exotic animal skin, exotic animal hair or angora. It uses leather.
émoi émoi is rated 'It's a start' overall.
Last Updated: August 2020"
& Other Stories,"& other stories publishes detailed information about its suppliers and supply chain policies but it creates short-lived, fast fashion products.",3 out of 5,3 out of 5,3 out of 5,It's a start,"& Other Stories is owned by Hennes & Mauritz.
Its environment rating is 'it's a start'. It uses some eco-friendly materials including organic cotton. It has fast fashion traits such as on trend styles and regular new arrivals. It has a policy approved by CanopyStyle to prevent deforestation of ancient and endangered forests in its supply chain. It has set a science-based target to reduce greenhouse gas emissions generated from its own operations and supply chain but there is no evidence it is on track to meet its target.
Its labour rating is 'it's a start'. Almost none of its supply chain is certified by labour standards which ensure worker health and safety, living wages or other labour rights. It received a score of 71-80% in the Fashion Transparency Index. It publishes detailed information about its supplier policies, audit and remediation processes. It publishes a detailed list of suppliers in the final stage of production, some information about the second and first stages of production and detailed information about the findings of supplier audits. It publishes detailed information about forced labour, gender equality or freedom of association. It has a project to improve wages in its supply chain however there is no evidence it ensures payment of a living wage in most of its supply chain. It discloses some policies to protect suppliers and workers in its supply chain from the impacts of COVID-19.but implementation is uncertain.
Its animal rating is 'it's a start'. It has a formal animal welfare policy aligned with Five Freedoms. It uses leather and exotic animal hair. It uses down accredited by the Responsible Down Standard. It states that it sources wool from non-mulesed sheep. It does not use fur, angora or exotic animal skin. It traces some animal products to the first stage of production.
& Other Stories is rated 'It's a start' overall.
Last Updated: July 2020"
COS,"COS publishes detailed information about its suppliers and supply chain policies but it creates short-lived, fast fashion products.",3 out of 5,3 out of 5,3 out of 5,It's a start,"COS is owned by Hennes & Mauritz.
Its environment rating is 'it's a start'. It uses some eco-friendly materials including organic cotton. It has fast fashion traits such as on trend styles and regular new arrivals. It has a policy approved by CanopyStyle to prevent deforestation of ancient and endangered forests in its supply chain. It has set a science-based target to reduce greenhouse gas emissions generated from its own operations and supply chain but there is no evidence it is on track to meet its target.
Its labour rating is 'it's a start'. Almost none of its supply chain is certified by labour standards which ensure worker health and safety, living wages or other labour rights. It received a score of 71-80% in the Fashion Transparency Index. It publishes detailed information about its supplier policies, audit and remediation processes. It publishes a detailed list of suppliers in the final stage of production, some information about the second and first stages of production and detailed information about the findings of supplier audits. It publishes detailed information about forced labour, gender equality or freedom of association. It has a project to improve wages in its supply chain however there is no evidence it ensures payment of a living wage in most of its supply chain. It discloses some policies to protect suppliers and workers in its supply chain from the impacts of COVID-19 but implementation is uncertain.
Its animal rating is 'it's a start'. It has a formal animal welfare policy aligned with Five Freedoms. It uses leather and exotic animal hair. It uses down accredited by the Responsible Down Standard. It states that it sources wool from non-mulesed sheep. It does not use fur, angora or exotic animal skin. It traces some animal products to the first stage of production.
COS is rated 'It's a start' overall.
Last Updated: July 2020"
Margu,"Margu is an independent womenswear label designed, cut, and sewn in Brooklyn, USA.",3 out of 5,3 out of 5,4 out of 5,It's a start,"Margu's environment rating is 'it's a start'. It uses some eco-friendly materials. There is no evidence it has taken meaningful action to reduce or eliminate hazardous chemicals. There is no evidence it implements water reduction initiatives. It produces long lasting products
Its labour rating is 'it's a start'. Its products are manufactured in-house by the owner and a small team. There is no evidence it ensures payment of a living wage in its supply chain. It traces some of its supply chain. There is no evidence it audits any of its supply chain.
Its animal rating is 'good'. It does not use fur, leather, down, exotic animal skin, exotic animal hair or angora. It uses wool.
Margu is rated 'It's a start' based on information from our own research.
Last Updated: October 2019"
Jack Wolfskin,Jack Wolfskin has good policies to audit suppliers in its supply chain but is not taking adequate steps to reduce textile waste in its supply chain.,3 out of 5,3 out of 5,3 out of 5,It's a start,"Jack Wolfskin's environment rating is 'it's a start'. It uses some eco-friendly materials including organic cotton. It has eliminated hazardous chemicals for most of the final and second stages of production. There is no evidence it minimises textile waste when manufacturing its products. It reduces its climate impact through its use of sea freight for shipping.
Its labour rating is 'it's a start'. Some of its supply chain is certified by Fair Wear Foundation including all of the final stage of production. There is no evidence it implements gender equality initiatives in its supply chain. It ensures payment of a living wage in some of its supply chain. It does not disclose any policies or safeguards to protect suppliers and workers in its supply chain from the impacts of COVID-19.
Its animal rating is 'it's a start'. It has a formal animal welfare policy aligned with Five Freedoms. It uses leather and exotic animal hair. It states that it sources wool from non-mulesed sheep. It uses down accredited by the Responsible Down Standard. It does not use angora, fur or exotic animal skin. It traces some animal products to the first stage of production.
Jack Wolfskin is rated 'It's a start' overall.
Last Updated: August 2020"
Softwear,"Softwear is a Brooklyn based loungewear brand that makes affordable, buttery-soft clothing for men and women.",2 out of 5,3 out of 5,4 out of 5,It's a start,"Softwear's environment rating is 'not good enough'. There is no evidence it minimises textile waste. It manufactures locally to reduce its carbon footprint. There is no evidence it implements water reduction initiatives. There is no evidence it minimises packaging.
Its labour rating is 'it's a start'. Its final stage of production is undertaken in the USA, a medium risk country for labour abuse. There is no evidence it has a Code of Conduct. There is no evidence it ensures payment of a living wage in its supply chain. It traces most of its supply chain. It visits its suppliers regularly.
Its animal rating is 'good'. It does not use any animal products but it does not state that it's vegan.
Softwear is rated 'It's a start' overall.
Last Updated: August 2020"
Titania Inglis,"Clothing as modern organic geometry. Dresses, jackets, and separates made in NYC from materials sourced round the world",4 out of 5,2 out of 5,3 out of 5,It's a start,"Titania Inglis's environment rating is 'good'. It uses a medium proportion of eco-friendly materials including organic cotton. It manufactures locally to reduce its carbon footprint. It uses low impact non-toxic dyes in some of its products. Its use of eco-friendly materials limits the amount of water and wastewater used in production.
Its labour rating is 'not good enough'. Its final stage of production is undertaken in the USA, a medium risk country for labour abuse. There is no evidence it has a Code of Conduct. There is no evidence it investigates and reports on safety incidents. There is no evidence it ensures payment of a living wage in its supply chain. It traces most of its supply chain including all of final stage of production.
Its animal rating is 'it's a start'. It does not use down, exotic animal skin, exotic animal hair or angora. It uses recycled wool. It uses fur and leather.
Titania Inglis is rated 'It's a start' based on information from our own research.
Last Updated: June 2019"
Angela Roi,Angela Roi is a luxury designer vegan handbag brand,2 out of 5,3 out of 5,5 out of 5,It's a start,"Angela Roi's environment rating is 'not good enough'. It creates high-quality, long-lasting products however it does not publish sufficient relevant information about its environmental policies to give a higher rating. As a shopper you have the right to know how its products impact on the environment.
Its labour rating is 'it's a start'. It addresses workers' rights in a formal statement but does not mention a Code of Conduct. It sources from countries with high or extreme risk of labour abuse but works to address those risks by self-auditing its final stage production factories quarterly. It mentions paying a living wage but does not supply its definition or methodology. It does not mention its labour rights standards for first and second stages of production.
Its animal rating is 'great'. It is uses 100% vegan materials and publicly advocates for animal welfare.
Angela Roi is rated 'It's a start' based on information from our own research.
Last Updated: May 2017"
NepaCrafts,"Buddhist items manufactured by local Nepalese and Tibetan artisans, including Tibetan incense, prayer wheels, Pashmina, knitwear & meditation accessories.",3 out of 5,4 out of 5,2 out of 5,It's a start,"NepaCrafts's environment rating is 'it's a start'. It uses few eco-friendly materials. It uses low impact non-toxic dyes in all of its products. There is no evidence it implements water reduction initiatives. It makes products by hand to reduce its climate impact.
Its labour rating is 'good'. It partners with independent artisans and has a mission to improve social conditions. It monitors health and safety issues with an internal procedure. It ensures payment of a living wage in the final stage of production. It traces some of its supply chain.
Its animal rating is 'not good enough'. It uses leather, wool, exotic animal hair and silk. It does not use fur, down, exotic animal skin or angora.
NepaCrafts is rated 'It's a start' based on information from our own research.
Last Updated: July 2019"
AFROBLONDE,"AFROBLONDE is an accessories brand that features the latest in upcycled fashion, hats, bags, and shoes.",5 out of 5,2 out of 5,5 out of 5,It's a start,"AFROBLONDE's environment rating is 'great'. It uses a high proportion of eco-friendly materials including upcycled materials. It makes products by hand to reduce its climate impact. It has a limited production run to minimise textile waste.
Its labour rating is 'not good enough'. There is no evidence it has a Code of Conduct. It does not disclose where its final stage of production occurs. There is no evidence it ensures payment of a living wage in its supply chain. It traces most of its supply chain. There is no evidence it audits any of its supply chain.
Its animal rating is 'great'. It is listed by PETA as vegan.
AFROBLONDE is rated 'It's a start' overall.
Last Updated: September 2020"
G-Star RAW,G-Star RAW has good policies to eliminate hazardous chemicals in its supply chain but is not taking adequate steps to reduce textile waste in its supply chain.,3 out of 5,2 out of 5,3 out of 5,It's a start,"G-Star RAW's environment rating is 'it's a start'. It uses some eco-friendly materials including organic cotton. It has eliminated hazardous chemicals for most of the final and second stages of production. There is no evidence it minimises textile waste when manufacturing its products. It has a policy approved by CanopyStyle to prevent deforestation of ancient and endangered forests in its supply chain.
Its labour rating is 'not good enough'. None of its supply chain is certified by labour standards which ensure worker health and safety, living wages or other labour rights. It received a score of 41-50% in the Fashion Transparency Index. It likely publishes information about its supplier policies, audits and remediation processes. It publishes a detailed list of suppliers in the final stage of production and some information about the second stage of production. It may be publishing some information about forced labour, gender equality or freedom of association. It has a project to improve wages in its supply chain but there is no evidence it ensures payment of a living wage in most of its supply chain. It discloses policies to protect suppliers and workers in its supply chain from the impacts of COVID-19.
Its animal rating is 'it's a start'. It has a formal animal welfare policy aligned with Five Freedoms. It uses leather and down. It states that it sources wool from non-mulesed sheep. It does not use angora, fur, exotic animal hair or exotic animal skin. It has committed to eliminating down by a specific date.
G-Star RAW is rated 'It's a start' overall.
Last Updated: August 2020"
Three Graces,"Three Graces houses the ultimate vacation wardrobe, featuring irresistible dresses and beachwear.",3 out of 5,2 out of 5,4 out of 5,It's a start,"Three Graces's environment rating is 'it's a start'. It uses some eco-friendly materials including organic cotton. It reuses most of its offcuts to minimise textile waste. There is no evidence it has taken meaningful action to reduce or eliminate hazardous chemicals. There is no evidence it implements water reduction initiatives.
Its labour rating is 'not good enough'. Its final stage of production is undertaken in the European Union, a low/medium risk country for labour abuse. There is no evidence it has a Code of Conduct. There is no evidence it ensures payment of a living wage in its supply chain. There is no evidence it audits any of its supply chain.
Its animal rating is 'good'. It does not use fur, leather, wool, down, exotic animal skin, exotic animal hair or angora. It uses silk.
Three Graces is rated 'It's a start' overall.
Last Updated: May 2020"
Bali,Bali traces most of its supply chain but does not use eco-friendly materials,3 out of 5,4 out of 5,0 out of 5,It's a start,"Bali is owned by Hanesbrands Incorporated.
Its environment rating is 'it's a start'. It does not use eco-friendly materials but it recycles some off-cuts created during the manufacturing process. It measures and reports on its direct and indirect emissions but does not do so for its entire supply chain and it does not use any widely accepted tools to guide measurement and reporting on its carbon emissions. It has made a public commitment to reduce its carbon emissions by 40% by the year 2020 and it has taken meaningful action on meeting its carbon reduction target. It complies with a Restricted Substances List however it has made no commitment to eliminate hazardous chemicals from its supply chain. It measures and reports on water usage and wastewater management and publicly reports on targets.
Its labour rating is 'good' based on the 2017 Ethical Fashion Report. This looks at criteria including payment of a living wage, transparency and worker empowerment. It received the top score for its Supplier Code of Conduct included in its supplier contracts. It also traces most of its supply chain including all of its final stage, most of its inputs and some or none of its raw material stages. It publicly lists some of its suppliers and it ensures that no subcontracting occurs or that all subcontracted production adheres to code standards. It audits most of its traced facilities over a two-year period across its entire supply chain however it has very few worker empowerment initiatives. It received a good score in relation to implementing a living wage or improving wages across its supply chain.
This brand does not use any animal derived materials. Since the brand makes products that are generally free of animal materials, we haven't awarded points. The total score is calculated from environment and labour scores only.
Bali is rated 'It's a start' based on information from the 2017 Ethical Fashion Report and our own research.
Last Updated: March 2017"
L'eggs,L'eggs traces most of its supply chain but does not use eco-friendly materials,3 out of 5,4 out of 5,0 out of 5,It's a start,"L'eggs is owned by Hanesbrands Incorporated.
Its environment rating is 'it's a start'. It does not use eco-friendly materials but it recycles some off-cuts created during the manufacturing process. It measures and reports on its direct and indirect emissions but does not do so for its entire supply chain and it does not use any widely accepted tools to guide measurement and reporting on its carbon emissions. It has made a public commitment to reduce its carbon emissions by 40% by the year 2020 and it has taken meaningful action on meeting its carbon reduction target. It complies with a Restricted Substances List however it has made no commitment to eliminate hazardous chemicals from its supply chain. It measures and reports on water usage and wastewater management and publicly reports on targets.
Its labour rating is 'good' based on the 2017 Ethical Fashion Report. This looks at criteria including payment of a living wage, transparency and worker empowerment. It received the top score for its Supplier Code of Conduct included in its supplier contracts. It also traces most of its supply chain including all of its final stage, most of its inputs and some or none of its raw material stages. It publicly lists some of its suppliers and it ensures that no subcontracting occurs or that all subcontracted production adheres to code standards. It audits most of its traced facilities over a two-year period across its entire supply chain however it has very few worker empowerment initiatives. It received a good score in relation to implementing a living wage or improving wages across its supply chain.
This brand does not use any animal derived materials. Since the brand makes products that are generally free of animal materials, we haven't awarded points. The total score is calculated from environment and labour scores only.
L'eggs is rated 'It's a start' based on information from the 2017 Ethical Fashion Report and our own research.
Last Updated: March 2017"
Wonderbra,Wonderbra traces most of its supply chain but does not use eco-friendly materials,3 out of 5,4 out of 5,0 out of 5,It's a start,"Wonderbra is owned by Hanesbrands Incorporated.
Its environment rating is 'it's a start'. It does not use eco-friendly materials but it recycles some off-cuts created during the manufacturing process. It measures and reports on its direct and indirect emissions but does not do so for its entire supply chain and it does not use any widely accepted tools to guide measurement and reporting on its carbon emissions. It has made a public commitment to reduce its carbon emissions by 40% by the year 2020 and it has taken meaningful action on meeting its carbon reduction target. It complies with a Restricted Substances List however it has made no commitment to eliminate hazardous chemicals from its supply chain. It measures and reports on water usage and wastewater management and publicly reports on targets.
Its labour rating is 'good' based on the 2017 Ethical Fashion Report. This looks at criteria including payment of a living wage, transparency and worker empowerment. It received the top score for its Supplier Code of Conduct included in its supplier contracts. It also traces most of its supply chain including all of its final stage, most of its inputs and some or none of its raw material stages. It publicly lists some of its suppliers and it ensures that no subcontracting occurs or that all subcontracted production adheres to code standards. It audits most of its traced facilities over a two-year period across its entire supply chain however it has very few worker empowerment initiatives. It received a good score in relation to implementing a living wage or improving wages across its supply chain.
This brand does not use any animal derived materials. Since the brand makes products that are generally free of animal materials, we haven't awarded points. The total score is calculated from environment and labour scores only.
Wonderbra is rated 'It's a start' based on information from the 2017 Ethical Fashion Report and our own research.
Last Updated: March 2017"
CLOSED,CLOSED is a German brand that produces jeans and other ready-to-wear around the globe.,4 out of 5,3 out of 5,2 out of 5,It's a start,"CLOSED's environment rating is 'good'. It uses a medium proportion of eco-friendly materials including recycled materials. It mostly manufactures locally to reduce its carbon footprint. There is no evidence it minimises the use of solvent-based chemicals in its shoe production. It reduces its water use by using waterless digital printing technology.
Its labour rating is 'it's a start'. It has a Code of Conduct that covers all of the ILO Four Fundamental Freedoms principles. It monitors health and safety issues by visiting all of its final stage of production suppliers. There is no evidence it ensures payment of a living wage in its supply chain. It traces most of its supply chain.
Its animal rating is 'not good enough'. It uses leather, exotic animal hair and silk. It states that it sources wool from non-mulesed sheep. It does not use fur, down, exotic animal skin or angora.
CLOSED is rated 'It's a start' overall.
Last Updated: August 2020"
Faithfull the Brand,"Faithfull the Brand is a collection of effortless pieces designed to be versatile and easy, made with the modern traveller in mind.",2 out of 5,4 out of 5,4 out of 5,It's a start,"Faithfull the Brand's environment rating is 'not good enough'. There is no evidence it minimises textile waste. It makes products by hand to reduce its climate impact. There is no evidence it has taken meaningful action to reduce or eliminate hazardous chemicals. There is no evidence it minimises packaging.
Its labour rating is 'good'. It provides jobs for workers from disadvantaged communities. It traces some of its supply chain. It is unclear whether it ensures payment of a living wage in its supply chain.
Its animal rating is 'good'. It does not use any animal products but it does not state that it's vegan.
Faithfull the Brand is rated 'It's a start' overall.
Last Updated: August 2020"
Nicole Bridger,Nicole Bridger is a Canadian fashion line that offers clothing & accessories for women who want to look effortlessly chic while maintaining a commitment to the earth and its people,3 out of 5,3 out of 5,4 out of 5,It's a start,"Nicole Bridger's environment rating is 'it's a start'. It uses a small proportion of eco-friendly materials including organic cotton and Tencel and a high proportion of non-eco-friendly materials including modal. It manufactures some products locally to reduce its carbon footprint and uses some Bluesign certified fabrics to limit its use of hazardous chemicals. However there is no evidence that it has adequate policies or initiatives on energy use, carbon emissions, water usage and wastewater management.
Its labour rating is 'it's a start'. It addresses workers’ rights in a formal statement but does not mention a Code of Conduct. A large amount of its final stage of production is done in Canada, a low risk country for labour rights. It also sources from countries with high or extreme risk of labour abuse but attempts to address those risks through actively seeking suppliers with Fair Trade accreditation. However it does not provide any information on its suppliers or their certifications. It traces suppliers in its supply chain but it is unclear to what extent. It self-audits the local part of its supply chain but does not mention auditing for the rest of its supply chain.
Its animal rating is 'good'. It does not use fur, down, angora, leather, wool or exotic animal skin or hair. However it uses cashmere and alpaca.
Nicole Bridger is rated 'It's a start' based on information from our own research.
Last Updated: March 2017"
Noisy may,Noisy may has good policies to audit suppliers but has not set specific targets to reduce its greenhouse gas emissions,2 out of 5,4 out of 5,4 out of 5,It's a start,"Noisy may is owned by Bestseller.
Its environment rating is 'not good enough'. It is a member of the Better Cotton Initiative. It has fast fashion traits such as on trend styles and regular new arrivals. There is no evidence of a current greenhouse gas emissions reduction target. There is no evidence that it has taken any meaningful action to reduce or eliminate hazardous chemicals. It has a current qualitative water target or goal.
Its labour rating is 'good'. It is a member of the Ethical Trading Initiative - ETI and has adopted the ETI base code. It is a signatory to the Bangladesh Building and Fire Safety Accord. It has a project to improve wages in a part of its supply chain. It traces some of its supply chain including all of its final stage of production.
Its animal rating is 'good'. It does not use fur, leather, down, exotic animal skin and angora. However it uses exotic animal hair. It states that it sources wool from non-mulesed sheep.
Noisy may is rated 'It's a start' based on information from our own research.
Last Updated: June 2018"
Alexander McQueen,Alexander McQueen has good policies to reduce its greenhouse gas emissions but is not taking adequate steps to ensure payment of a living wage for its workers.,4 out of 5,2 out of 5,3 out of 5,It's a start,"Alexander McQueen is owned by Kering.
Its environment rating is 'good'. It has set a science-based target to reduce greenhouse gas emissions generated from its own operations and supply chain and it is on track to meet its target. It has a policy approved by CanopyStyle to prevent deforestation of ancient and endangered forests in its supply chain. It does not use eco-friendly materials. It reduces chromium and other hazardous chemicals from the leather tanning processes.
Its labour rating is 'not good enough'. Most of its final stage of production is undertaken in Italy, a medium risk country for labour abuse. It received a score of 41-50% in the Fashion Transparency Index. It likely publishes information about its supplier policies, audits and remediation processes. It publishes a detailed list of suppliers in the final stage of production and some information about the second stage of production. It may be publishing some information about forced labour, gender equality or freedom of association. There is no evidence it ensures payment of a living wage in its supply chain. It discloses policies to protect suppliers and workers in its supply chain from the impacts of COVID-19.
Its animal rating is 'it's a start'. It has a robust policy to ensure animal welfare in its supply chain. It uses leather and exotic animal hair. It states that it sources wool from non-mulesed sheep. It does not use angora, fur, down or exotic animal skin. It traces most animal products to the first stage of production.
Alexander McQueen is rated 'It's a start' overall.
Last Updated: August 2020"
Nau,"Nau creates premium apparel that blends technical performance & modern design, crafted from sustainably sourced materials",5 out of 5,2 out of 5,4 out of 5,It's a start,"Nau is owned by BlackYak.
Nau's environment rating is 'great'. It uses a high proportion of eco-friendly materials including organic cotton, Tencel and mechanically recycled polyester to create high-quality, long-lasting products. It does not seem to take specific steps to reduce energy use and carbon emissions, however its use of eco-friendly materials reduces its climate impact as well as the amount of chemicals, water and wastewater used in production. It supports advocacy for better environmental outcomes by raising money for organisations who are creating lasting environmental change, including People for Bikes and the Conservation Alliance.
Its labour rating is 'not good enough'. It does not publish sufficient relevant information about its labour policies to give a higher rating. As a shopper you have the right to know how its products impact on its labour practices.
Its animal rating is 'good'. It uses wool from non-mulesed sheep and alpaca without specifying its sources. It also uses recycled down. It does not use leather, angora, fur or exotic animal skin or hair.
Nau is rated 'It's a start' based on information from our own research.
Last Updated: September 2017"
BEATON,"Beaton is a collection of linen basics in seasonless silhouettes, released in small collections.",3 out of 5,2 out of 5,4 out of 5,It's a start,"BEATON's environment rating is 'it's a start'. There is no evidence it minimises packaging. It manufactures locally to reduce its carbon footprint. It uses a limited production run to minimise textile waste. It is unclear whether is uses low impact non-toxic dyes in its products.
Its labour rating is 'not good enough'. Its final stage of production is undertaken in Canada, a medium risk country for labour abuse. There is no evidence it has a Code of Conduct. There is no evidence it ensures payment of a living wage in its supply chain. There is no evidence it audits any of its supply chain.
Its animal rating is 'good'. It does not use fur, leather, down, exotic animal skin, exotic animal hair or angora. It uses wool.
BEATON is rated 'It's a start' based on information from our own research.
Last Updated: April 2020"
Eagle Creek,Eagle Creek has made a public commitment to reduce greenhouse gas emissions but is not taking adequate steps to ensure payment of a living wage for its workers.,3 out of 5,2 out of 5,4 out of 5,It's a start,"Eagle Creek is owned by VF Corporation.
Its environment rating is 'it's a start'. It uses some eco-friendly materials including recycled materials. It has set an absolute target to reduce greenhouse gas emissions generated from its own operations and supply chain but there is no evidence it is on track to meet its target. It uses recycled packaging. There is no evidence it minimises textile waste when manufacturing its products.
Its labour rating is 'not good enough'. None of its supply chain is certified by labour standards which ensure worker health and safety, living wages or other labour rights. It received a score of 51-60% in the Fashion Transparency Index. It likely publishes detailed information about its supplier policies, audits and remediation processes. It publishes a detailed list of suppliers in the final stage of production and some information about the findings of supplier audits. It publishes some information about forced labour, gender equality or freedom of association. There is no evidence it ensures payment of a living wage in most of its supply chain. It discloses policies to protect suppliers in its supply chain from the impacts of COVID-19 but not workers.
Its animal rating is 'good'. It has a formal animal welfare policy aligned with [Five Freedoms]. It does not use leather, wool, down, angora, exotic animal skin or exotic animal hair. It uses silk.
Eagle Creek is rated 'it's a start' overall.
Last Updated: August 2020"
Miranda Bennett Studio,"Miranda Bennett Studio is collection of modern, sustainably, plant-dyed apparel made in the USA.",4 out of 5,3 out of 5,3 out of 5,It's a start,"Miranda Bennett Studio's environment rating is 'good'. It uses some eco-friendly materials. It uses low impact non-toxic dyes in most of its products. It manufactures locally to reduce its carbon footprint. It reuses its offcuts to minimise textile waste.
Its labour rating is 'it's a start'. Its final stage of production is undertaken in the USA, a medium risk country for labour rights. There is no evidence it ensures payment of a living wage in its supply chain. It traces most of its supply chain. There is no evidence it audits its supply chain.
Its animal rating is 'it's a start'. It does not use fur, down, exotic animal skin, exotic animal hair or angora. It uses leather, wool and silk.
Miranda Bennett Studio is rated 'It's a start' based on information from our own research.
Last Updated: April 2020"
Roopa,"Beautiful garments created from natural fibres, lovingly handcrafted using time-honoured traditions.",3 out of 5,3 out of 5,4 out of 5,It's a start,"Roopa's environment rating is 'it's a start'. There is no evidence it minimises textile waste. It uses low impact non-toxic dyes in all of its products. There is no evidence it minimises packaging. It makes products by hand to reduce its climate impact
Its labour rating is 'it's a start'. There is no evidence it has a Code of Conduct but it has a formal statement covering workers rights. It sources its final stage of production from countries with extreme risk of labour abuse. It ensures payment of a living wage in the final stage of production. It traces some of its supply chain including all of the final stage of production.
Its animal rating is 'good'. It does not use fur, leather, down, exotic animal skin, exotic animal hair or angora. It uses wool and silk.
Roopa is rated 'It's a start' based on information from our own research.
Last Updated: November 2019"
United By Blue,United By Blue is an outdoor brand focused on ocean conservation.,4 out of 5,3 out of 5,2 out of 5,It's a start,"United By Blue's environment rating is 'good'. It uses a medium proportion of eco-friendly materials including Global Organic Textile Standard (GOTS) certified organic cotton. It uses renewable energy in its supply chain to reduce its climate impact. There is no evidence it minimises textile waste in its supply chain. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production.
Its labour rating is 'it's a start'. There is no evidence it has a Code of Conduct but it has a formal statement covering workers rights. There is no evidence it investigates and reports on safety incidents. It sources its final stage of production from countries with extreme risk of labour abuse. It traces most of its supply chain including all of the final stage of production. It ensures payment of a living wage in some of its supply chain but does not specify what percenatge.
Its animal rating is 'not good enough'. It uses leather, wool and exotic animal hair. It does not use fur, exotic animal skin or angora.
United By Blue is rated 'It's a start' based on information from our own research.
Last Updated: February 2020"
Able,ABLE works with communities all over the world to stop the cycle of poverty by producing slow fashion and paying a living wage to women who have often overcome extraordinary circumstances.,2 out of 5,5 out of 5,4 out of 5,It's a start,"Able's environment rating is 'not good enough'. There is no evidence it minimises waste. It makes its products by hand to reduce its climate impact. There is no evidence that it has taken meaningful action to reduce or eliminate hazardous chemicals. There is no evidence that it implements water reduction initiatives.
Its labour rating is 'great'. It has a mission to improve social conditions and empower workers from disadvantaged communities. It ensures payment of a living wage in its final stage of production. It traces most of its supply chain. It visits its suppliers regularly.
Its animal rating is 'good'. It does not use fur, wool, down, exotic animal skin, exotic animal hair or angora. It uses leather.
Able is rated 'It's a start' based on information from our own research.
Last Updated: December 2019"
Moumout,"Baby clothes, kids, women, luggage and pretty sweet products for bed, home and bath!",2 out of 5,4 out of 5,4 out of 5,It's a start,"Moumout's environment rating is 'not good enough'. Its products are Oeko-Tex Standard 100 certified It does not use eco-friendly materials. There is no evidence it reduces its carbon and other greenhouse gas emissions. There is no evidence it implements water reduction initiatives.
Its labour rating is 'good'. Its final stage of production is undertaken in Portugal, a medium risk country for labour abuse. Its final stage of production is Business Social Compliance Initiative Code of Conduct - BSCI certified. It traces some of its supply chain including all of the final stage of production
Its animal rating is 'good'. It does not use fur, wool, down, exotic animal skin, exotic animal hair or angora. It uses leather.
Moumout is rated 'It's a start' based on information from our own research.
Last Updated: October 2019"
